Countries,Type,Amount 
World,Balance2016,-136103
World,Balance2017,669973
World,Balance2018,621599
World,Balance2019,906406
World,Balance2020,-3479041
World,Exported2020,60484795
World,Imported2020,63963836
France,Balance2016,5772428
France,Balance2017,6826712
France,Balance2018,7623363
France,Balance2019,7982568
France,Balance2020,7249903
France,Exported2020,8950761
France,Imported2020,1700858
Republic of Korea,Balance2016,2491548
Republic of Korea,Balance2017,2913895
Republic of Korea,Balance2018,3859659
Republic of Korea,Balance2019,4289310
Republic of Korea,Balance2020,5232173
Republic of Korea,Exported2020,6115434
Republic of Korea,Imported2020,883261
Japan,Balance2016,822642
Japan,Balance2017,1393379
Japan,Balance2018,2508248
Japan,Balance2019,2887906
Japan,Balance2020,3872159
Japan,Exported2020,5260979
Japan,Imported2020,1388820
Singapore,Balance2016,1104503
Singapore,Balance2017,1655255
Singapore,Balance2018,2324770
Singapore,Balance2019,3053634
Singapore,Balance2020,3341770
Singapore,Exported2020,6236091
Singapore,Imported2020,2894321
Germany,Balance2016,982899
Germany,Balance2017,963356
Germany,Balance2018,1159084
Germany,Balance2019,1214765
Germany,Balance2020,1175327
Germany,Exported2020,3361866
Germany,Imported2020,2186539
Switzerland,Balance2016,369003
Switzerland,Balance2017,585777
Switzerland,Balance2018,870932
Switzerland,Balance2019,929276
Switzerland,Balance2020,1106649
Switzerland,Exported2020,1638189
Switzerland,Imported2020,531540
Poland,Balance2016,562308
Poland,Balance2017,523036
Poland,Balance2018,789372
Poland,Balance2019,775721
Poland,Balance2020,933821
Poland,Exported2020,1954336
Poland,Imported2020,1020515
Italy,Balance2016,818466
Italy,Balance2017,922167
Italy,Balance2018,1137071
Italy,Balance2019,1107364
Italy,Balance2020,823764
Italy,Exported2020,1828187
Italy,Imported2020,1004423
United States,Balance2016,122241
United States,Balance2017,417444
United States,Balance2018,425832
United States,Balance2019,987572
United States,Balance2020,593531
United States,Exported2020,5081837
United States,Imported2020,4488306
Spain,Balance2016,-144771
Spain,Balance2017,-109223
Spain,Balance2018,-21323
Spain,Balance2019,22184
Spain,Balance2020,134975
Spain,Exported2020,1104431
Spain,Imported2020,969456
Israel,Balance2016,85161
Israel,Balance2017,121827
Israel,Balance2018,136284
Israel,Balance2019,124831
Israel,Balance2020,125453
Israel,Exported2020,249780
Israel,Imported2020,124327
South Africa,Balance2016,49891
South Africa,Balance2017,62320
South Africa,Balance2018,64619
South Africa,Balance2019,38906
South Africa,Balance2020,115636
South Africa,Exported2020,270332
South Africa,Imported2020,154696
Netherlands,Balance2016,-148458
Netherlands,Balance2017,-21087
Netherlands,Balance2018,36904
Netherlands,Balance2019,71899
Netherlands,Balance2020,75506
Netherlands,Exported2020,1083410
Netherlands,Imported2020,1007904
Senegal,Balance2016,22092
Senegal,Balance2017,26939
Senegal,Balance2018,45040
Senegal,Balance2019,45273
Senegal,Balance2020,52732
Senegal,Exported2020,60069
Senegal,Imported2020,7337
United Kingdom,Balance2016,-393400
United Kingdom,Balance2017,-408891
United Kingdom,Balance2018,-275635
United Kingdom,Balance2019,-123275
United Kingdom,Balance2020,33387
United Kingdom,Exported2020,2040434
United Kingdom,Imported2020,2007047
Czech Republic,Balance2016,-49130
Czech Republic,Balance2017,-81816
Czech Republic,Balance2018,-109535
Czech Republic,Balance2019,-14176
Czech Republic,Balance2020,27154
Czech Republic,Exported2020,849309
Czech Republic,Imported2020,822155
Côte d'Ivoire,Balance2016,133367
Côte d'Ivoire,Balance2017,148537
Côte d'Ivoire,Balance2018,165299
Côte d'Ivoire,Balance2019,144969
Côte d'Ivoire,Balance2020,20338
Côte d'Ivoire,Exported2020,28510
Côte d'Ivoire,Imported2020,8172
Colombia,Balance2016,36806
Colombia,Balance2017,50765
Colombia,Balance2018,53353
Colombia,Balance2019,48153
Colombia,Balance2020,19291
Colombia,Exported2020,143282
Colombia,Imported2020,123991
Luxembourg,Balance2016,19180
Luxembourg,Balance2017,26414
Luxembourg,Balance2018,19998
Luxembourg,Balance2019,16664
Luxembourg,Balance2020,13326
Luxembourg,Exported2020,89779
Luxembourg,Imported2020,76453
Lebanon,Balance2016,-32350
Lebanon,Balance2017,-44126
Lebanon,Balance2018,-42795
Lebanon,Balance2019,-27906
Lebanon,Balance2020,11131
Lebanon,Exported2020,37424
Lebanon,Imported2020,26293
India,Balance2016,55014
India,Balance2017,25491
India,Balance2018,-20009
India,Balance2019,-53913
India,Balance2020,3616
India,Exported2020,141832
India,Imported2020,138216
Kenya,Balance2016,555
Kenya,Balance2017,1033
Kenya,Balance2018,940
Kenya,Balance2019,751
Kenya,Balance2020,2273
Kenya,Exported2020,11703
Kenya,Imported2020,9430
Free Zones,Balance2016,6793
Free Zones,Balance2017,9305
Free Zones,Balance2018,6481
Free Zones,Balance2019,3766
Free Zones,Balance2020,1768
Free Zones,Exported2020,4341
Free Zones,Imported2020,2573
Togo,Balance2016,43224
Togo,Balance2017,48347
Togo,Balance2018,60258
Togo,Balance2019,70252
Togo,Balance2020,1086
Togo,Exported2020,3371
Togo,Imported2020,2285
United States Minor Outlying Islands,Balance2016,-11781
United States Minor Outlying Islands,Balance2017,-13985
United States Minor Outlying Islands,Balance2018,-14022
United States Minor Outlying Islands,Balance2019,-14280
United States Minor Outlying Islands,Balance2020,815
United States Minor Outlying Islands,Exported2020,2765
United States Minor Outlying Islands,Imported2020,1950
French Southern and Antarctic Territories,Balance2016,-14
French Southern and Antarctic Territories,Balance2017,-34
French Southern and Antarctic Territories,Balance2018,-108
French Southern and Antarctic Territories,Balance2019,-53
French Southern and Antarctic Territories,Balance2020,249
French Southern and Antarctic Territories,Exported2020,297
French Southern and Antarctic Territories,Imported2020,48
Sint Maarten (Dutch part),Balance2016,-125
Sint Maarten (Dutch part),Balance2017,-104
Sint Maarten (Dutch part),Balance2018,-349
Sint Maarten (Dutch part),Balance2019,-36
Sint Maarten (Dutch part),Balance2020,52
Sint Maarten (Dutch part),Exported2020,106
Sint Maarten (Dutch part),Imported2020,54
Tokelau,Balance2016,11
Tokelau,Balance2017,71
Tokelau,Balance2018,15
Tokelau,Balance2019,0
Tokelau,Balance2020,19
Tokelau,Exported2020,19
Tokelau,Imported2020,
Saint Helena,Balance2016,-13
Saint Helena,Balance2017,-8
Saint Helena,Balance2018,-17
Saint Helena,Balance2019,43
Saint Helena,Balance2020,2
Saint Helena,Exported2020,6
Saint Helena,Imported2020,4
Tuvalu,Balance2016,-64
Tuvalu,Balance2017,-1
Tuvalu,Balance2018,-23
Tuvalu,Balance2019,-22
Tuvalu,Balance2020,-1
Tuvalu,Exported2020,
Tuvalu,Imported2020,1
Eritrea,Balance2016,-3
Eritrea,Balance2017,-8
Eritrea,Balance2018,-75
Eritrea,Balance2019,-71
Eritrea,Balance2020,-2
Eritrea,Exported2020,
Eritrea,Imported2020,2
Christmas Island,Balance2016,-8
Christmas Island,Balance2017,-34
Christmas Island,Balance2018,-36
Christmas Island,Balance2019,-44
Christmas Island,Balance2020,-3
Christmas Island,Exported2020,1
Christmas Island,Imported2020,4
Palau,Balance2016,-350
Palau,Balance2017,-325
Palau,Balance2018,-300
Palau,Balance2019,-7
Palau,Balance2020,-10
Palau,Exported2020,
Palau,Imported2020,10
Guam,Balance2016,-183
Guam,Balance2017,-87
Guam,Balance2018,-138
Guam,Balance2019,-137
Guam,Balance2020,-12
Guam,Exported2020,
Guam,Imported2020,12
Montserrat,Balance2016,-11
Montserrat,Balance2017,-3
Montserrat,Balance2018,-69
Montserrat,Balance2019,-1
Montserrat,Balance2020,-14
Montserrat,Exported2020,3
Montserrat,Imported2020,17
Niue,Balance2016,-9
Niue,Balance2017,-8
Niue,Balance2018,-11
Niue,Balance2019,-10
Niue,Balance2020,-25
Niue,Exported2020,
Niue,Imported2020,25
Marshall Islands,Balance2016,-25
Marshall Islands,Balance2017,-163
Marshall Islands,Balance2018,-46
Marshall Islands,Balance2019,-31
Marshall Islands,Balance2020,-25
Marshall Islands,Exported2020,
Marshall Islands,Imported2020,25
Northern Mariana Islands,Balance2016,-310
Northern Mariana Islands,Balance2017,-206
Northern Mariana Islands,Balance2018,-459
Northern Mariana Islands,Balance2019,-74
Northern Mariana Islands,Balance2020,-26
Northern Mariana Islands,Exported2020,
Northern Mariana Islands,Imported2020,26
Norfolk Island,Balance2016,-64
Norfolk Island,Balance2017,-9
Norfolk Island,Balance2018,-15
Norfolk Island,Balance2019,-24
Norfolk Island,Balance2020,-26
Norfolk Island,Exported2020,
Norfolk Island,Imported2020,26
Wallis and Futuna Islands,Balance2016,-89
Wallis and Futuna Islands,Balance2017,-62
Wallis and Futuna Islands,Balance2018,-39
Wallis and Futuna Islands,Balance2019,-218
Wallis and Futuna Islands,Balance2020,-32
Wallis and Futuna Islands,Exported2020,
Wallis and Futuna Islands,Imported2020,32
Falkland Islands,Balance2016,-46
Falkland Islands,Balance2017,-41
Falkland Islands,Balance2018,-21
Falkland Islands,Balance2019,
Falkland Islands,Balance2020,-43
Falkland Islands,Exported2020,
Falkland Islands,Imported2020,43
